Date_Time,RealPower
2019-07-01_00:00:00,79.9573
2019-07-01_00:15:00,58.5507
2019-07-01_00:30:00,39.2053
2019-07-01_00:45:00,42.0113
2019-07-01_01:00:00,47.6293
2019-07-01_01:15:00,42.236
2019-07-01_01:30:00,34.956
2019-07-01_01:45:00,27.2787
2019-07-01_02:00:00,26.8853
2019-07-01_02:15:00,18.7933
2019-07-01_02:30:00,9.13733
2019-07-01_02:45:00,2.514
2019-07-01_03:00:00,0.111333
2019-07-01_03:15:00,7.25333
2019-07-01_03:30:00,12.006
2019-07-01_03:45:00,11.3647
2019-07-01_04:00:00,9.32267
2019-07-01_04:15:00,3.25867
2019-07-01_04:30:00,0.897333
2019-07-01_04:45:00,1.94733
2019-07-01_05:00:00,1.97467
2019-07-01_05:15:00,1.758
2019-07-01_05:30:00,1.108
2019-07-01_05:45:00,0.168667
2019-07-01_06:00:00,0.154667
2019-07-01_06:15:00,0.008
2019-07-01_06:30:00,0.274
2019-07-01_06:45:00,1.624
2019-07-01_07:00:00,2.45667
2019-07-01_07:15:00,2.75333
2019-07-01_07:30:00,3.28333
2019-07-01_07:45:00,2.39267
2019-07-01_08:00:00,1.116
2019-07-01_08:15:00,0.892
2019-07-01_08:30:00,0.557333
2019-07-01_08:45:00,0.014
2019-07-01_09:00:00,0
2019-07-01_09:15:00,0.028
2019-07-01_09:30:00,0.036
2019-07-01_09:45:00,1.07
2019-07-01_10:00:00,4.59867
2019-07-01_10:15:00,6.76733
2019-07-01_10:30:00,13.1547
2019-07-01_10:45:00,16.0793
2019-07-01_11:00:00,26.8073
2019-07-01_11:15:00,42.622
2019-07-01_11:30:00,51.0353
2019-07-01_11:45:00,52.9033
2019-07-01_12:00:00,59.644
2019-07-01_12:15:00,77.5387
2019-07-01_12:30:00,69.6633
2019-07-01_12:45:00,65.0627
2019-07-01_13:00:00,72.7433
2019-07-01_13:15:00,80.092
2019-07-01_13:30:00,78.192
2019-07-01_13:45:00,75.9353
2019-07-01_14:00:00,62.9093
2019-07-01_14:15:00,59.9367
2019-07-01_14:30:00,54.7653
2019-07-01_14:45:00,63.0553
2019-07-01_15:00:00,38.1933
2019-07-01_15:15:00,39.07
2019-07-01_15:30:00,123.969
2019-07-01_15:45:00,120.114
2019-07-01_16:00:00,30.8387
2019-07-01_16:15:00,15.3053
2019-07-01_16:30:00,20.8227
2019-07-01_16:45:00,23.8573
2019-07-01_17:00:00,21.1893
2019-07-01_17:15:00,36.8907
2019-07-01_17:30:00,29.0773
2019-07-01_17:45:00,22.3473
2019-07-01_18:00:00,19.6333
2019-07-01_18:15:00,16.226
2019-07-01_18:30:00,16.0607
2019-07-01_18:45:00,22.3093
2019-07-01_19:00:00,37.6093
2019-07-01_19:15:00,36.6207
2019-07-01_19:30:00,34.6033
2019-07-01_19:45:00,30.784
2019-07-01_20:00:00,32.1647
2019-07-01_20:15:00,33.258
2019-07-01_20:30:00,34.5953
2019-07-01_20:45:00,29.0027
2019-07-01_21:00:00,25.4507
2019-07-01_21:15:00,19.5
2019-07-01_21:30:00,18.5547
2019-07-01_21:45:00,12.264
2019-07-01_22:00:00,7.368
2019-07-01_22:15:00,2.51667
2019-07-01_22:30:00,0.444667
2019-07-01_22:45:00,0
2019-07-01_23:00:00,0
2019-07-01_23:15:00,0
2019-07-01_23:30:00,0.026
2019-07-01_23:45:00,0.138
2019-07-02_00:00:00,0.00333333
2019-07-02_00:15:00,0
2019-07-02_00:30:00,0
2019-07-02_00:45:00,0
2019-07-02_01:00:00,0
2019-07-02_01:15:00,0
2019-07-02_01:30:00,0
2019-07-02_01:45:00,0
2019-07-02_02:00:00,0
2019-07-02_02:15:00,0.256667
2019-07-02_02:30:00,0.0146667
2019-07-02_02:45:00,0.00133333
2019-07-02_03:00:00,0
2019-07-02_03:15:00,0
2019-07-02_03:30:00,0
2019-07-02_03:45:00,0
2019-07-02_04:00:00,0
2019-07-02_04:15:00,0
2019-07-02_04:30:00,0
2019-07-02_04:45:00,0
2019-07-02_05:00:00,0
2019-07-02_05:15:00,0
2019-07-02_05:30:00,0.248667
2019-07-02_05:45:00,1.05867
2019-07-02_06:00:00,3.98533
2019-07-02_06:15:00,2.296
2019-07-02_06:30:00,3.482
2019-07-02_06:45:00,7.45533
2019-07-02_07:00:00,5.91733
2019-07-02_07:15:00,4.53
2019-07-02_07:30:00,2.33733
2019-07-02_07:45:00,2.37733
2019-07-02_08:00:00,2.17533
2019-07-02_08:15:00,0.0713333
2019-07-02_08:30:00,0
2019-07-02_08:45:00,0.103333
2019-07-02_09:00:00,0
2019-07-02_09:15:00,0.156
2019-07-02_09:30:00,0.154667
2019-07-02_09:45:00,5.03133
2019-07-02_10:00:00,12.2647
2019-07-02_10:15:00,29.766
2019-07-02_10:30:00,1.00667
2019-07-02_10:45:00,0.008
2019-07-02_11:00:00,0.074
2019-07-02_11:15:00,0
2019-07-02_11:30:00,0
2019-07-02_11:45:00,0
2019-07-02_12:00:00,9.74067
2019-07-02_12:15:00,11.4813
2019-07-02_12:30:00,1.828
2019-07-02_12:45:00,0
2019-07-02_13:00:00,0
2019-07-02_13:15:00,0
2019-07-02_13:30:00,0
2019-07-02_13:45:00,0
2019-07-02_14:00:00,0
2019-07-02_14:15:00,0
2019-07-02_14:30:00,0
2019-07-02_14:45:00,0.00933333
2019-07-02_15:00:00,0.0106667
2019-07-02_15:15:00,0.006
2019-07-02_15:30:00,0.0766667
2019-07-02_15:45:00,0.165333
2019-07-02_16:00:00,0.0153333
2019-07-02_16:15:00,0.0446667
2019-07-02_16:30:00,0.19
2019-07-02_16:45:00,0.152667
2019-07-02_17:00:00,0.459333
2019-07-02_17:15:00,0.389333
2019-07-02_17:30:00,0.257333
2019-07-02_17:45:00,4.054
2019-07-02_18:00:00,15.2927
2019-07-02_18:15:00,15.7967
2019-07-02_18:30:00,11.2027
2019-07-02_18:45:00,14.79
2019-07-02_19:00:00,17.5807
2019-07-02_19:15:00,16.4307
2019-07-02_19:30:00,20.4373
2019-07-02_19:45:00,18.3773
2019-07-02_20:00:00,17.0907
2019-07-02_20:15:00,15.2767
2019-07-02_20:30:00,15.0587
2019-07-02_20:45:00,13.7593
2019-07-02_21:00:00,11.2753
2019-07-02_21:15:00,12.204
2019-07-02_21:30:00,16.334
2019-07-02_21:45:00,12.118
2019-07-02_22:00:00,8.12667
2019-07-02_22:15:00,10.47
2019-07-02_22:30:00,9.22467
2019-07-02_22:45:00,6.804
2019-07-02_23:00:00,6.458
2019-07-02_23:15:00,9.10667
2019-07-02_23:30:00,10.5687
2019-07-02_23:45:00,9.12733
2019-07-03_00:00:00,8.63133
2019-07-03_00:15:00,8.184
2019-07-03_00:30:00,8.13067
2019-07-03_00:45:00,4.60933
2019-07-03_01:00:00,2.85067
2019-07-03_01:15:00,1.426
2019-07-03_01:30:00,1.43467
2019-07-03_01:45:00,1.45533
2019-07-03_02:00:00,3.52133
2019-07-03_02:15:00,1.872
2019-07-03_02:30:00,0.658667
2019-07-03_02:45:00,0.472667
2019-07-03_03:00:00,0.552667
2019-07-03_03:15:00,0.611333
2019-07-03_03:30:00,0.806
2019-07-03_03:45:00,1.12667
2019-07-03_04:00:00,1.60133
2019-07-03_04:15:00,2.522
2019-07-03_04:30:00,4.67533
2019-07-03_04:45:00,6.31933
2019-07-03_05:00:00,5.072
2019-07-03_05:15:00,3.82267
2019-07-03_05:30:00,5.89733
2019-07-03_05:45:00,8.77333
2019-07-03_06:00:00,4.79533
2019-07-03_06:15:00,3.59667
2019-07-03_06:30:00,4.2
2019-07-03_06:45:00,7.41533
2019-07-03_07:00:00,4.952
2019-07-03_07:15:00,2.76533
2019-07-03_07:30:00,3.824
2019-07-03_07:45:00,2.34467
2019-07-03_08:00:00,1.75
2019-07-03_08:15:00,3.392
2019-07-03_08:30:00,6.36067
2019-07-03_08:45:00,8.08133
2019-07-03_09:00:00,2.91133
2019-07-03_09:15:00,0.806
2019-07-03_09:30:00,0.470667
2019-07-03_09:45:00,0.295333
2019-07-03_10:00:00,0.0413333
2019-07-03_10:15:00,0.14
2019-07-03_10:30:00,0.14
2019-07-03_10:45:00,0.26
2019-07-03_11:00:00,0.0286667
2019-07-03_11:15:00,0.0993333
2019-07-03_11:30:00,0.117333
2019-07-03_11:45:00,0.277333
2019-07-03_12:00:00,0.605333
2019-07-03_12:15:00,0.403333
2019-07-03_12:30:00,0.690667
2019-07-03_12:45:00,0.235333
2019-07-03_13:00:00,0.0866667
2019-07-03_13:15:00,0.048
2019-07-03_13:30:00,0.44
2019-07-03_13:45:00,0.508
2019-07-03_14:00:00,0.542
2019-07-03_14:15:00,0.659333
2019-07-03_14:30:00,0.251333
2019-07-03_14:45:00,0.215333
2019-07-03_15:00:00,0.0726667
2019-07-03_15:15:00,0.0233333
2019-07-03_15:30:00,0.124
2019-07-03_15:45:00,0.132
2019-07-03_16:00:00,0.0133333
2019-07-03_16:15:00,0.193333
2019-07-03_16:30:00,0.372667
2019-07-03_16:45:00,0.155333
2019-07-03_17:00:00,0.399333
2019-07-03_17:15:00,0.0893333
2019-07-03_17:30:00,1.148
2019-07-03_17:45:00,1.734
2019-07-03_18:00:00,1.50267
2019-07-03_18:15:00,0.0106667
2019-07-03_18:30:00,0
2019-07-03_18:45:00,0.549333
2019-07-03_19:00:00,1.116
2019-07-03_19:15:00,0.0213333
2019-07-03_19:30:00,0.02
2019-07-03_19:45:00,0
2019-07-03_20:00:00,0
2019-07-03_20:15:00,0
2019-07-03_20:30:00,1.86067
2019-07-03_20:45:00,28.444
2019-07-03_21:00:00,71.0887
2019-07-03_21:15:00,78.508
2019-07-03_21:30:00,78.2833
2019-07-03_21:45:00,63.4367
2019-07-03_22:00:00,44.7373
2019-07-03_22:15:00,55.6747
2019-07-03_22:30:00,43.7107
2019-07-03_22:45:00,13.4073
2019-07-03_23:00:00,12.2193
2019-07-03_23:15:00,8.66533
2019-07-03_23:30:00,7.69933
2019-07-03_23:45:00,5.63133
2019-07-04_00:00:00,3.254
2019-07-04_00:15:00,0.0133333
2019-07-04_00:30:00,0
2019-07-04_00:45:00,0.456
2019-07-04_01:00:00,2.26333
2019-07-04_01:15:00,1.526
2019-07-04_01:30:00,4.53533
2019-07-04_01:45:00,12.466
2019-07-04_02:00:00,24.9547
2019-07-04_02:15:00,25.39
2019-07-04_02:30:00,18.992
2019-07-04_02:45:00,16.518
2019-07-04_03:00:00,13.5787
2019-07-04_03:15:00,11.6767
2019-07-04_03:30:00,20.1587
2019-07-04_03:45:00,19.0653
2019-07-04_04:00:00,17.818
2019-07-04_04:15:00,13.722
2019-07-04_04:30:00,12.38
2019-07-04_04:45:00,9.36667
2019-07-04_05:00:00,11.83
2019-07-04_05:15:00,14.12
2019-07-04_05:30:00,25.164
2019-07-04_05:45:00,3.24333
2019-07-04_06:00:00,5.51267
2019-07-04_06:15:00,46.4413
2019-07-04_06:30:00,43.2727
2019-07-04_06:45:00,36.0353
2019-07-04_07:00:00,33.3513
2019-07-04_07:15:00,32.038
2019-07-04_07:30:00,47.162
2019-07-04_07:45:00,38.57
2019-07-04_08:00:00,23.7693
2019-07-04_08:15:00,14.44
2019-07-04_08:30:00,12.6773
2019-07-04_08:45:00,14.1347
2019-07-04_09:00:00,15.0613
2019-07-04_09:15:00,2.06933
2019-07-04_09:30:00,26.5087
2019-07-04_09:45:00,49.6127
2019-07-04_10:00:00,33.8227
2019-07-04_10:15:00,9.84867
2019-07-04_10:30:00,3.84467
2019-07-04_10:45:00,0
2019-07-04_11:00:00,0
2019-07-04_11:15:00,0
2019-07-04_11:30:00,1.27333
2019-07-04_11:45:00,3.422
2019-07-04_12:00:00,7.24
2019-07-04_12:15:00,10.3773
2019-07-04_12:30:00,17.408
2019-07-04_12:45:00,39.0927
2019-07-04_13:00:00,52.856
2019-07-04_13:15:00,40.5247
2019-07-04_13:30:00,83.8147
2019-07-04_13:45:00,150.632
2019-07-04_14:00:00,169.019
2019-07-04_14:15:00,168.062
2019-07-04_14:30:00,159.233
2019-07-04_14:45:00,158.191
2019-07-04_15:00:00,165.586
2019-07-04_15:15:00,167.825
2019-07-04_15:30:00,164.659
2019-07-04_15:45:00,173.479
2019-07-04_16:00:00,169.393
2019-07-04_16:15:00,166.777
2019-07-04_16:30:00,171.21
2019-07-04_16:45:00,172.345
2019-07-04_17:00:00,165.141
2019-07-04_17:15:00,154.457
2019-07-04_17:30:00,113.11
2019-07-04_17:45:00,117.869
2019-07-04_18:00:00,164.967
2019-07-04_18:15:00,145.871
2019-07-04_18:30:00,63.5807
2019-07-04_18:45:00,22.046
2019-07-04_19:00:00,7.94867
2019-07-04_19:15:00,0.900667
2019-07-04_19:30:00,0.126
2019-07-04_19:45:00,0.222
2019-07-04_20:00:00,0
2019-07-04_20:15:00,0
2019-07-04_20:30:00,0.054
2019-07-04_20:45:00,17.682
