日期和时间,实际功率,测风塔风速,测风塔温度,测风塔湿度,测风塔风向
2018-07-03 00:00:00,24.3085,3.698,0.0,0.0,15.15
2018-07-03 00:15:00,24.9225,3.698,0.0,0.0,15.15
2018-07-03 00:30:00,22.5555,3.698,0.0,0.0,15.15
2018-07-03 00:45:00,21.1597,3.698,0.0,0.0,15.15
2018-07-03 01:00:00,18.3903,3.698,0.0,0.0,15.15
2018-07-03 01:15:00,15.7999,3.698,0.0,0.0,15.15
2018-07-03 01:30:00,14.2813,3.698,0.0,0.0,15.15
2018-07-03 01:45:00,14.4044,3.698,0.0,0.0,15.15
2018-07-03 02:00:00,12.1376,3.698,0.0,0.0,15.15
2018-07-03 02:30:00,11.1211,3.698,0.0,0.0,15.15
2018-07-03 02:45:00,10.8084,3.698,0.0,0.0,15.15
2018-07-03 03:00:00,9.9041,3.698,0.0,0.0,15.15
2018-07-03 03:15:00,8.2742,3.698,0.0,0.0,15.15
2018-07-03 03:30:00,6.9009,3.698,0.0,0.0,15.15
2018-07-03 03:45:00,5.3932,3.698,0.0,0.0,15.15
2018-07-03 04:00:00,4.5669,3.698,0.0,0.0,15.15
2018-07-03 04:15:00,4.7569,3.698,0.0,0.0,15.15
2018-07-03 04:30:00,5.248,3.698,0.0,0.0,15.15
2018-07-03 04:45:00,4.9688,3.698,0.0,0.0,15.15
2018-07-03 05:00:00,4.6004,3.698,0.0,0.0,15.15
2018-07-03 05:15:00,5.3039,3.698,0.0,0.0,15.15
2018-07-03 05:30:00,3.9079,3.698,0.0,0.0,15.15
2018-07-03 05:45:00,2.9701,3.698,0.0,0.0,15.15
2018-07-03 06:00:00,1.1277,3.698,0.0,0.0,15.15
2018-07-03 06:15:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 06:30:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 06:45:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 07:00:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 07:15:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 07:30:00,0.0,3.698,0.0,0.0,15.15
2018-07-03 08:00:00,1.9539,3.698,0.0,0.0,15.15
2018-07-03 08:15:00,5.7506,3.698,0.0,0.0,15.15
2018-07-03 08:30:00,8.7095,3.698,0.0,0.0,15.15
2018-07-03 08:45:00,10.7305,3.698,0.0,0.0,15.15
2018-07-03 09:00:00,12.1598,3.698,0.0,0.0,15.15
2018-07-03 09:15:00,12.8298,3.698,0.0,0.0,15.15
2018-07-03 09:30:00,15.8111,3.698,0.0,0.0,15.15
2018-07-03 09:45:00,15.3757,3.698,0.0,0.0,15.15
2018-07-03 10:00:00,14.2926,3.698,0.0,0.0,15.15
2018-07-03 10:15:00,13.3435,3.698,0.0,0.0,15.15
2018-07-03 10:30:00,14.3036,3.698,0.0,0.0,15.15
2018-07-03 11:00:00,16.5368,3.698,0.0,0.0,15.15
2018-07-03 11:15:00,17.4971,3.698,0.0,0.0,15.15
2018-07-03 11:30:00,18.4573,3.698,0.0,0.0,15.15
2018-07-03 11:45:00,20.2105,3.698,0.0,0.0,15.15
2018-07-03 12:00:00,20.1547,3.698,0.0,0.0,15.15
2018-07-03 12:30:00,19.3171,3.698,0.0,0.0,15.15
2018-07-03 12:45:00,19.4959,3.698,0.0,0.0,15.15
2018-07-03 13:00:00,18.3233,3.698,0.0,0.0,15.15
2018-07-03 13:15:00,18.2452,3.698,0.0,0.0,15.15
2018-07-03 13:30:00,19.6521,3.698,0.0,0.0,15.15
2018-07-03 13:45:00,19.3841,3.698,0.0,0.0,15.15
2018-07-03 14:00:00,16.8271,3.698,0.0,0.0,15.15
2018-07-03 14:15:00,14.1585,3.698,0.0,0.0,15.15
2018-07-03 14:30:00,13.3099,3.698,0.0,0.0,15.15
2018-07-03 14:45:00,14.6387,3.698,0.0,0.0,15.15
2018-07-03 15:00:00,14.8174,3.698,0.0,0.0,15.15
2018-07-03 15:15:00,12.7963,3.698,0.0,0.0,15.15
2018-07-03 15:30:00,12.0705,3.698,0.0,0.0,15.15
2018-07-03 15:45:00,7.9168,3.698,0.0,0.0,15.15
2018-07-03 16:00:00,5.9628,3.698,0.0,0.0,15.15
2018-07-03 16:15:00,8.2407,3.698,0.0,0.0,15.15
2018-07-03 16:30:00,7.6711,3.698,0.0,0.0,15.15
2018-07-03 16:45:00,6.6661,3.698,0.0,0.0,15.15
2018-07-03 17:00:00,7.9503,3.698,0.0,0.0,15.15
2018-07-03 17:15:00,9.7479,3.698,0.0,0.0,15.15
2018-07-03 17:30:00,8.8323,3.698,0.0,0.0,15.15
2018-07-03 17:45:00,6.3871,3.698,0.0,0.0,15.15
